name,salary_from,salary_to,salary_currency,area_name,published_at
Токарь-универсал (4-5 разряда),80000.0,,RUR,Санкт-Петербург,2022-12-20T23:49:24+0300
Инженер-программист встроенных систем (Embedded Software Engineer),,,,Санкт-Петербург,2022-12-20T22:38:59+0300
Автоматизатор тестирования - Ведущий QA Инженер,,,,Москва,2022-12-20T22:14:04+0300
Product manager (Lightning protection),,,,Санкт-Петербург,2022-12-20T23:12:08+0300
DevOps-инженер (DevOps engineer),,,,Санкт-Петербург,2022-12-20T22:33:59+0300
Разработчик / Middle Developer Backend (NODE.JS)  - РАБОТА В ОФИСЕ!,100000.0,120000.0,RUR,Екатеринбург,2022-12-20T22:48:48+0300
Инсталлятор,45000.0,60000.0,RUR,Свободный,2022-12-20T22:27:49+0300
Старший Java-разработчик,,,,Москва,2022-12-20T22:09:01+0300
Консультант 1С по бюджетному учету,80000.0,,RUR,Москва,2022-12-20T21:08:05+0300
Руководитель отдела разработки,,,,Москва,2022-12-20T22:44:31+0300
Младший менеджер по продажам оборудования,,,,Санкт-Петербург,2022-12-20T21:10:57+0300
Монтажник слаботочных систем,30000.0,50000.0,RUR,Череповец,2022-12-20T22:27:47+0300
DevOps engineer,3000.0,,EUR,Москва,2022-12-20T22:49:30+0300
Инженер-программист (IDE developer),,,,Санкт-Петербург,2022-12-20T22:44:31+0300
IOS разработчик (Senior),,,,Москва,2022-12-20T21:26:48+0300
PHP-разработчик,,,,Краснодар,2022-12-20T21:16:51+0300
"Разработчик low-code СRM / BPM решений со знанием SQL (продуктовая ИТ-компания, удалённо)",50000.0,90000.0,RUR,Москва,2022-12-20T22:15:17+0300
Product-manager/Специалист по закупкам компьютерной техники,,,,Минск,2022-12-20T21:04:29+0300
Principal of Drama (screenwriter),,,,Армения,2022-12-20T22:40:44+0300
Инженер-верификатор (RTL verification engineer),,,,Санкт-Петербург,2022-12-20T22:36:25+0300
Инженер-программист (тестирование процессорных ядер),,,,Санкт-Петербург,2022-12-20T22:41:43+0300
Tech Lead продукта Audiogram (MTS AI),,,,Москва,2022-12-20T23:55:57+0300
Principal of Drama (screenwriter),,,,Алматы,2022-12-20T21:30:01+0300
Backend php senior developer,120000.0,150000.0,RUR,Москва,2022-12-20T21:45:55+0300
Principal of Drama (screenwriter),,,,Астана,2022-12-20T21:30:01+0300
Специалист по внедрению IT-продукта,,,,Пенза,2022-12-20T21:36:21+0300
Инженер-верификатор (RTL verification engineer),,,,Москва,2022-12-20T22:37:08+0300
